country,dir,time,number
Macau SAR (China),Export,10/1/2020,1273.170865
Macau SAR (China),Export,11/1/2020,1266.317895
Macau SAR (China),Export,12/1/2020,1598.910308
Macau SAR (China),Export,1/1/2021,1358.780543
Macau SAR (China),Export,2/1/2021,983.778524
Macau SAR (China),Export,3/1/2021,1071.743078
Malaysia,Export,6/1/2020,0.00001
Malaysia,Export,7/1/2020,36996.97322
Malaysia,Export,8/1/2020,36385.5706
Malaysia,Export,9/1/2020,35121.29728
Malaysia,Export,10/1/2020,37127.86819
Malaysia,Export,11/1/2020,40632.666
Malaysia,Export,12/1/2020,46630.39198
Malaysia,Export,1/1/2021,37760.58724
Malaysia,Export,2/1/2021,25829.49658
Malaysia,Export,3/1/2021,37047.4786
Maldives,Export,6/1/2020,134.948737
Maldives,Export,7/1/2020,205.742786
Maldives,Export,8/1/2020,201.616467
Maldives,Export,9/1/2020,150.2976
Maldives,Export,10/1/2020,118.239948
Maldives,Export,11/1/2020,159.468763
Maldives,Export,12/1/2020,216.590937
Maldives,Export,1/1/2021,230.846845
Maldives,Export,2/1/2021,184.276785
Maldives,Export,3/1/2021,108.73067
Mongolia,Export,6/1/2020,1085.56235
Mongolia,Export,7/1/2020,1079.764176
Mongolia,Export,8/1/2020,1363.817746
Mongolia,Export,9/1/2020,1325.814651
Mongolia,Export,10/1/2020,1150.515199
Mongolia,Export,11/1/2020,891.638232
Mongolia,Export,12/1/2020,595.6682
Mongolia,Export,1/1/2021,972.909586
Mongolia,Export,2/1/2021,963.034825
Mongolia,Export,3/1/2021,1602.394811
Nepal,Export,6/1/2020,566.518529
Nepal,Export,7/1/2020,645.28259
Nepal,Export,8/1/2020,740.165821
Nepal,Export,9/1/2020,594.496104
Nepal,Export,10/1/2020,741.578083
Nepal,Export,11/1/2020,869.661174
Nepal,Export,12/1/2020,1186.995723
Nepal,Export,1/1/2021,1117.776096
Nepal,Export,2/1/2021,560.926351
Nepal,Export,3/1/2021,853.43607
Oman,Export,6/1/2020,1673.266692
Oman,Export,7/1/2020,1714.191151
Oman,Export,8/1/2020,2037.730889
Oman,Export,9/1/2020,1904.218213
Oman,Export,10/1/2020,2064.66037
Oman,Export,11/1/2020,2319.518115
Oman,Export,12/1/2020,2454.382806
Oman,Export,1/1/2021,2609.43319
Oman,Export,2/1/2021,1792.464355
Oman,Export,3/1/2021,1671.051559
Pakistan,Export,6/1/2020,8469.350207
Pakistan,Export,7/1/2020,9013.282804
Pakistan,Export,8/1/2020,8661.995583
Pakistan,Export,9/1/2020,9285.219213
Pakistan,Export,10/1/2020,9555.803405
Pakistan,Export,11/1/2020,10659.10856
Pakistan,Export,12/1/2020,11733.78127
Pakistan,Export,1/1/2021,10479.99326
Pakistan,Export,2/1/2021,10455.03547
Pakistan,Export,3/1/2021,9704.205216
Palestine,Export,6/1/2020,65.378214
Palestine,Export,7/1/2020,65.713629
Palestine,Export,8/1/2020,32.931735
Palestine,Export,9/1/2020,66.061376
Palestine,Export,10/1/2020,75.590561
Palestine,Export,11/1/2020,78.94999
Palestine,Export,12/1/2020,71.027071
Palestine,Export,1/1/2021,62.521075
Palestine,Export,2/1/2021,39.250665
Palestine,Export,3/1/2021,62.336959
Philippines,Export,6/1/2020,0.00001
Philippines,Export,7/1/2020,28765.61288
Philippines,Export,8/1/2020,30962.48057
Philippines,Export,9/1/2020,27915.04779
Philippines,Export,10/1/2020,26320.7877
Philippines,Export,11/1/2020,30055.69544
Philippines,Export,12/1/2020,30881.25158
Philippines,Export,1/1/2021,28399.63279
Philippines,Export,2/1/2021,20744.87514
Philippines,Export,3/1/2021,26462.33676
Qatar,Export,6/1/2020,1526.22396
Qatar,Export,7/1/2020,1663.332469
Qatar,Export,8/1/2020,1450.592976
Qatar,Export,9/1/2020,1669.905232
Qatar,Export,10/1/2020,1373.262872
